initial_training_observations,evaluation_view,model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
25,high_volatility,chen_pct_change_adaptive_k11_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w050,fuzzy_time_series,adaptive_quantile,1,11,forecast_target=percentage_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.07870145200519392,0.08570057305215881,20.835854661334686,2.657243169519862,10,31,41,31,37
25,high_volatility,chen_change_equal_k5_w025,Chen FTS Absolute Change Correction Equal Intervals k=5 w025,fuzzy_time_series,equal_length,1,5,forecast_target=absolute_change;k=5;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.25,baseline_naive,0.07881282261097573,0.08166187381276853,20.933554617999587,2.640433910718786,10,32,27,36,34
25,high_volatility,chen_pct_change_adaptive_k7_w075,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w075,fuzzy_time_series,adaptive_quantile,1,7,forecast_target=percentage_change;k=7;correction_weight=0.75;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.75,baseline_naive,0.07882195729285384,0.08527566637888503,20.64630980226772,2.6317609681511223,10,33,40,29,29
25,high_volatility,chen_pct_change_adaptive_k9_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1,9,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.07885829141630751,0.08453307746719503,21.048564801086354,2.6659944211225626,10,34,36,38,38
25,high_volatility,chen_pct_change_adaptive_k7_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w050,fuzzy_time_series,adaptive_quantile,1,7,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.07895464086190254,0.08319008308620768,20.749105887696423,2.6347533639936063,10,35,35,30,30
25,high_volatility,chen_pct_change_adaptive_k11_w025,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w025,fuzzy_time_series,adaptive_quantile,1,11,forecast_target=percentage_change;k=11;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.25,baseline_naive,0.07896073000259693,0.08275662189254536,20.906797291502546,2.6489906625992186,10,36,31,35,35
25,high_volatility,chen_pct_change_adaptive_k9_w025,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w025,fuzzy_time_series,adaptive_quantile,1,9,forecast_target=percentage_change;k=9;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.25,baseline_naive,0.07903914970815376,0.08227343957999597,21.01822375944586,2.6533662884005693,10,37,29,37,36
25,high_volatility,chen_pct_change_adaptive_k7_w025,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w025,fuzzy_time_series,adaptive_quantile,1,7,forecast_target=percentage_change;k=7;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.25,baseline_naive,0.07908732443095123,0.08185043736537193,20.880001327377833,2.6377457598360903,10,38,28,32,31
25,high_volatility,chen_pct_change_adaptive_k9_w075,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w075,fuzzy_time_series,adaptive_quantile,1,9,forecast_target=percentage_change;k=9;correction_weight=0.75;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.75,baseline_naive,0.07939151597467084,0.08797396644834858,21.299194064952097,2.700133094699225,10,39,45,41,43
25,high_volatility,chen_change_equal_k5_w100,Chen FTS Absolute Change Correction Equal Intervals k=5 w100,fuzzy_time_series,equal_length,1,5,forecast_target=absolute_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.07942766342390291,0.08802872930154976,21.381992303459214,2.6948395359597965,10,40,46,43,41
