model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,is_evaluation_high_volatility,mae,rmse,smape,mase,forecast_count
chen_pct_change_adaptive_k11_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w050,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,True,0.06990239099272776,0.07862176840884673,17.8314858124388,2.2281728133548087,9
chen_change_adaptive_k5_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=5 w050,fuzzy_time_series,adaptive_quantile,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,True,0.07035345713659609,0.07498193420499598,18.155608479640044,2.235207275881829,9
chen_equal_k11,Chen FTS Equal Intervals k=11,fuzzy_time_series,equal_length,1.0,11.0,k=11;margin_fraction=0.05;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,True,0.07071056344444443,0.08593891566239413,18.408319050293787,2.1981413540813595,9
chen_pct_change_equal_k7_w050,Chen FTS Percentage Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,True,0.07086941118517852,0.07584548037623802,18.290666891283315,2.253525727153844,9
chen_adaptive_k11,Chen FTS Adaptive Intervals k=11,fuzzy_time_series,adaptive_quantile,1.0,11.0,k=11;quantiles=training_window;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,True,0.07094929465488214,0.09337478232862545,18.96174399083725,2.23283068346478,9
chen_pct_change_adaptive_k11_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w100,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,True,0.072844744429686,0.08609662734830927,18.213521168387796,2.32383595614974,9
chen_order2_adaptive_k9,Chen FTS Order 2 Adaptive Intervals k=9,fuzzy_time_series,adaptive_quantile,2.0,9.0,k=9;quantiles=training_window;fuzzy_order=2;defuzzification=frequency_weighted_midpoint,yield_level,,,True,0.07292758022633745,0.09400859781554308,18.874935042075688,2.258614216937474,9
baseline_arima_aic,ARIMA-AIC,baseline,none,,,aic_grid_p0-2_d0-1_q0-2,yield_level,,,True,0.07382015206282938,0.07934032323524244,19.330418257872246,2.333010184739038,9
chen_pct_change_adaptive_k7_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w050,fuzzy_time_series,adaptive_quantile,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,True,0.07416516364700995,0.07998732875628044,19.180180094136716,2.3597999050433884,9
baseline_naive,Naive,baseline,none,,,previous_observation,yield_level,,,True,0.07425556333333333,0.07743931439090761,19.33520799690423,2.3522750734798854,9
