initial_training_observations,evaluation_view,model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
25,high_volatility,baseline_drift,Drift,baseline,none,,,one_step_linear_drift,yield_level,,,0.07891960743176735,0.0810709972114327,20.88831581096135,2.6311879324115752,10,26,15,24,23
25,high_volatility,chen_pct_change_adaptive_k7_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w050,fuzzy_time_series,adaptive_quantile,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.07895464086190254,0.08319008308620768,20.749105887696423,2.6347533639936063,10,27,20,21,24
25,high_volatility,baseline_naive,Naive,baseline,none,,,previous_observation,yield_level,,,0.07922000799999998,0.08129361472711444,21.040515846151834,2.640738155678575,10,28,16,26,26
25,high_volatility,chen_adaptive_k11,Chen FTS Adaptive Intervals k=11,fuzzy_time_series,adaptive_quantile,1.0,11.0,k=11;quantiles=training_window;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,0.07935186668181818,0.10169799522390575,21.66870053384803,2.6557940639838904,10,29,42,33,27
25,high_volatility,chen_change_equal_k5_w100,Chen FTS Absolute Change Correction Equal Intervals k=5 w100,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.07942766342390291,0.08802872930154976,21.381992303459214,2.6948395359597965,10,30,27,29,31
25,high_volatility,chen_pct_change_equal_k7_w050,Chen FTS Percentage Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.08073847413897492,0.08520192635550135,21.468696970312557,2.716590403549019,10,31,22,31,33
25,high_volatility,chen_adaptive_k5,Chen FTS Adaptive Intervals k=5,fuzzy_time_series,adaptive_quantile,1.0,5.0,k=5;quantiles=training_window;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,0.08128270381333333,0.09356948000677971,22.023852385017886,2.6902856550319934,10,32,37,34,30
25,high_volatility,chen_change_equal_k11_w050,Chen FTS Absolute Change Correction Equal Intervals k=11 w050,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=absolute_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.08190935338499998,0.08619116493738865,21.519066384630804,2.699861818115585,10,33,25,32,32
25,high_volatility,chen_pct_change_equal_k7_w100,Chen FTS Percentage Change Correction Equal Intervals k=7 w100,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08225694027794984,0.09214551270726891,22.12035777736861,2.7924426514194627,10,34,34,35,35
25,high_volatility,chen_pct_change_adaptive_k7_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w100,fuzzy_time_series,adaptive_quantile,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08245875493601969,0.08805420009471988,21.44885176733069,2.742317832863558,10,35,28,30,34
25,high_volatility,chen_pct_change_adaptive_k9_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w100,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08324201996622782,0.0924643262024028,22.36005599848899,2.8341992133239247,10,36,36,36,38
25,high_volatility,baseline_arima_aic,ARIMA-AIC,baseline,none,,,aic_grid_p0-2_d0-1_q0-2,yield_level,,,0.08425944352240773,0.08873662031444082,22.708110986911084,2.819920961940519,10,37,29,39,36
25,high_volatility,chen_pct_change_adaptive_k11_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w100,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08474886921019527,0.09541602055465455,22.377414114068138,2.871537045989156,10,38,38,37,39
